x,y,z
669029.625,6220503.5,428.215
669026.25,6220997,396.445
669030.9375,6221040,390.148
669039.8125,6220532,423.76
669033.3125,6220802,391.28
669028.8125,6221206,393.929
669022.5,6220972,395.942
669032.375,6220859,395.019
669030.9375,6220902.5,396.353
669037.5625,6221274,418.866
669037.125,6221253.5,401.355
669039.125,6220590,389.939
669041.3125,6221298.5,427.905
669042.6875,6221321.5,429.9
669042.5,6220953.5,395.898
669043.375,6221182.5,393.4
669043.5,6221162,391.9
669037.375,6220927,395.777
669050.125,6220560.5,390.9
669045.8125,6220882,395.58
669046.5625,6221028.5,394.536
669050.75,6220830,392.54
669045,6221229.5,393.725
669049.125,6221009,396.489
669061.75,6220533,425.756
669054.5,6220505.5,428.412
669055.0625,6221046.5,390.224
669054.875,6221202.5,394.364
669057.625,6220807.5,391.259
669050.75,6220981.5,395.85
669055.6875,6220906,395.648
669060.8125,6220858,393.551
669059.875,6221253,398.237
669061.5,6221281.5,423.296
669061.9375,6221327,429.9
669062.375,6221178,391.9
669064,6220592,390.178
669065.25,6220960.5,395.576
669066.5625,6220934.5,395.816
669069,6220557,405.752
669066.9375,6221309.5,428.218
669071.5625,6220883,395.578
669070.375,6221223.5,394.019
669070.1875,6221027.5,395.929
669074.375,6220507.5,428.373
669082.625,6220535.5,425.263
669073.625,6221000,396.474
669079.25,6221196.5,391.9
669076.9375,6220837.5,392.834
669079.375,6221052.5,390.929
669081.125,6221332.5,428.222
669081.9375,6220908,395.501
669081.4375,6220815.5,391.356
669080.125,6221266.5,405.011
669076,6220977.5,395.36
669085.375,6221289,424.286
669087.5,6221243,392.498
669088.625,6220596,390.137
669087.5,6220858,393.214
669090.375,6220956.5,395.483
669086.375,6220565,391.12
669092.75,6220930,395.678
669094.625,6221315,427.173
669097.625,6220884.5,395.434
669095.8125,6221215,391.9
669092.25,6221039,394.269
669099.25,6220510,428.13
669105,6220539,424.807
669100.375,6221338,427.335
669095.3125,6221017.5,396.319
669102.5,6221061.5,390.063
669104.25,6220825.5,391.522
669106.5,6221266.5,397.254
669107.5625,6220910.5,395.673
669100.1875,6220988,395.523
669112.375,6221234,391.9
669112.4375,6221297.5,423.232
669113.1875,6220600.5,389.682
669114.6875,6220966,395.094
669113.8125,6220860,393.309
669109.0625,6220569,390.892
669117.1875,6220939.5,395.634
669123.3125,6220888.5,395.527
669121.6875,6221325.5,426.086
669119.5625,6221343.5,426.642
669113.8125,6221037.5,396.396
669128.5625,6220542.5,420.687
669124.125,6220513,427.762
669124.625,6221073,389.197
669127,6220836,391.551
669121.875,6221012,396.038
669132.6875,6220914,396.496
669129.25,6221252.5,391.9
669129.9375,6221058.5,390.867
669129.3125,6220985.5,395.537
669136.625,6221303.5,421.998
669136.4375,6220961.5,395.138
669143.0625,6220867,392.693
669132.75,6220572,390.892
669138.1875,6220600.5,389.821
669138.625,6221283.5,405.178
669138.8125,6221349,426.235
669145.75,6220937,395.4
669145.25,6220894,393.866
669144.125,6221088.5,388.135
669140.9375,6221036,396.314
669151.375,6220546,423.252
669148.875,6220516.5,427.376
669149.4375,6221266.5,391.9
669149.75,6220846.5,391.633
669151.8125,6221007,395.987
669157,6220913.5,394.956
