x,y,z
655899.4375,6222279.5,395.157
655900.5625,6221923.5,397.261
655899.6875,6221939.5,398.644
655899.6875,6222352.5,429.637
655898.5,6221773.5,402.407
655901.25,6221980.5,398.4
655901.625,6221853,397.506
655901.3125,6221749,402.259
655901.875,6222030.5,396.186
655905.6875,6221799,402.306
655902.3125,6221904,398.13
655902.25,6221970,398.858
655904.1875,6222299.5,397
655903.75,6222340.5,431.574
655904.9375,6221840.5,399.3
655907.9375,6221953.5,399.6
655907.0625,6222012.5,396.772
655909.6875,6221826,399.577
655909.4375,6221874,398.509
655906.8125,6221762,402.335
655914.5625,6221887.5,399.164
655915.3125,6221992.5,397.322
655911.625,6222352,427.443
655912.375,6221862.5,398.05
655914.4375,6221811.5,401.818
655913.1875,6221747.5,402.19
655913.6875,6221935,398.615
655914.0625,6222276,394.698
655914.25,6222311,405.167
655915.5625,6221919,397.257
655914.8125,6221781,402.181
655908.8125,6222326,428.064
655915.1875,6221850,397.856
655918.875,6221798.5,402.465
655916.75,6222028.5,396.089
655922,6221903.5,398
655916.9375,6221967,398.634
655920.5625,6221953.5,399.6
655918.9375,6222296.5,397
655919.6875,6221837.5,399.3
655924.125,6221823,400.313
655925.1875,6221872,398.587
655923.8125,6222011,396.545
655923.625,6222351.5,420.708
655922.625,6221760.5,402.173
655925.0625,6221745.5,402.173
655926.125,6221930.5,398.659
655923.6875,6221858.5,397.933
655930.9375,6221997,396.829
655928.125,6221808.5,402.127
655925.8125,6222322.5,419.121
655921.125,6222340,424.212
655927.8125,6222270,394.866
655931.0625,6221981,397.726
655933.3125,6221915,397.252
655931.25,6221793,402.389
655928.875,6221847.5,397.951
655931.625,6222026.5,396.032
655929.6875,6222306.5,403.147
655930.9375,6221947.5,398.601
655932.3125,6222290.5,397.712
655933.4375,6221964,398.748
655934.4375,6221835,399.3
655936.875,6221753.5,402.033
655937.875,6221905.5,397.301
655935.625,6222351,411.838
655938.375,6221820,400.096
655932.75,6221889.5,399.204
655936.9375,6221743.5,402.124
655939.125,6221773,401.853
655943.5,6221991,396.919
655938.5625,6222334.5,412.57
655941.125,6222008.5,396.454
655936.75,6221859.5,398.045
655941.75,6221805,402.3
655941.3125,6222263.5,395.875
655942.25,6221922,398.5
655943.375,6221845.5,397.922
655944.5,6222282,396.946
655944.75,6221791,402.319
