x,y,z
629813.6875,6230268,518.623
629823.0625,6230060.5,419.606
629821.125,6228998,418.586
629821.75,6228860.5,461.394
629833.875,6230145.5,468.215
629826.3125,6230026,419.46
629828.625,6230098.5,431.203
629831.75,6228738.5,464.766
629836.4375,6228979.5,421.808
629824.375,6228935,452.943
629844.75,6230010.5,418.554
629868.25,6230189.5,495.963
629858.125,6228829.5,461.674
629851.8125,6230075,426.795
629842.0625,6228904,458.527
629851.75,6228961,426.65
629855.3125,6230038,420.911
629859.625,6230248,523.939
629864.5,6230108.5,450.737
629851.875,6228775,463.525
629863.25,6229995.5,417.518
629878.875,6230145,479.472
629869.5,6228945.5,427.928
629868,6228874,459.814
629873.5625,6228711.5,464.703
629881.75,6229980,416.122
629880.75,6228911,445.949
629887.6875,6230070,435.343
629889.9375,6228933,427.425
629890.5,6230028,421.264
629906.3125,6230115.5,472.934
629902.5,6229970.5,415.555
629903.625,6229995,417.549
629900.625,6228850.5,460.559
629899.375,6228805.5,461.682
629904.25,6230225.5,520.147
629904.6875,6228889.5,449.196
629910.4375,6228920.5,427.194
629914.3125,6230048,430.01
629915.8125,6228684.5,464.628
629902.5,6228760.5,463.031
629918.8125,6230022,421.378
629926.4375,6229969.5,415.965
629921.375,6230167.5,496.576
629930.8125,6228907.5,427.04
629937.3125,6228872.5,448.67
629936.4375,6228831,460.394
629930.9375,6230078.5,457.402
629941.9375,6229999,418.687
629943.625,6230040.5,434.778
629947.375,6230200.5,519.982
629950.375,6229969.5,416.315
629950.9375,6228894.5,426.75
629941.125,6228724.5,463.845
629954.375,6230122,491.663
629958.0625,6228658,464.656
629946.6875,6228786,461.409
629976.75,6230022,432.966
629966.8125,6228852,449.639
629971,6228881.5,427.322
629967.625,6228821,457.197
629974,6229974,417.569
629979.1875,6230074.5,469.582
629990.125,6230174.5,514.906
629991.0625,6228868.5,425.834
629989.1875,6228759.5,461.725
629997.5625,6229978.5,418.816
630005.5625,6230001.5,425.84
630000.375,6228631,464.502
629990.625,6228800.5,456.979
629998.3125,6230122.5,497.064
629997.5,6228836.5,445.917
630002,6228709.5,463.141
630016.125,6230042,460.635
630011.125,6228855,426.541
630021.125,6229983,418.626
630034.375,6230092.5,490.237
630018.8125,6228785,459.154
630031.1875,6228842,427.31
630024.125,6228815,448.972
630033.625,6230150,512.636
630023.875,6228658.5,463.773
630043.375,6228605.5,464.645
630044.875,6229983,424.935
630047.75,6230010,444.343
630035.6875,6228753,461.391
630053,6230052,480.088
630051.875,6228830,427.351
630082.3125,6230079,491.771
630054.5625,6228795.5,447.175
630068.75,6229980.5,430.185
630064.25,6228704.5,462.398
630072.75,6228818,426.723
630084.5,6230037.5,474.372
630075,6228643,463.414
630078,6230127,512.242
630085.125,6228763.5,453.408
630087,6228581.5,464.593
630088,6230001.5,447.655
630090.125,6229970,430.687
630093.625,6228806,426.604
630113.9375,6228727,456.296
630121.3125,6230059.5,488.246
630114,6228678,460.642
630111.3125,6229958.5,430.163
630114.5,6228794.5,426.985
630119.5,6228763,445.771
630114.5,6230023,466.966
630122.625,6230104.5,508.768
630117.6875,6228630.5,463.293
630122.5,6229987,449.539
630130.875,6228557,464.414
630132.8125,6229948,429.311
630135.375,6228782.5,426.608
630151.625,6228595.5,463.535
630148.625,6228748,437.064
630156.375,6230029.5,479.049
630154.9375,6229938.5,426.433
630164.1875,6229979.5,453.195
630156.3125,6228770.5,423.165
630152.25,6228705.5,447.972
630160.75,6228655.5,460.031
630165.9375,6228538,464.677
630167.5625,6230082.5,506.416
630177,6229929.5,426.981
630177.25,6228759,420.813
630191.5,6228624.5,462.255
630191.4375,6230013.5,481.115
630199.375,6229986,465.378
630185.5,6228729,427.115
630190.75,6228694,437.661
630191.6875,6229952.5,443.763
630198.1875,6228747,421.898
630199.0625,6229920,428.772
630210.0625,6228514.5,464.524
630213,6230061.5,507.775
630207.5625,6228580,463.119
630207.5,6228662,446.654
630212.3125,6228715.5,427.552
630219.125,6228735.5,422.299
630220,6229908,428.989
630222.4375,6229939,444.914
630225,6229973.5,462.53
630224.4375,6230012,486.113
630230.0625,6228630,457.379
630226.25,6228696.5,431.106
630240.0625,6228723.5,423.206
630240.6875,6229896,426.861
630245.875,6229923,441.113
630252.875,6229956,456.274
630246.25,6228558,463.398
630259.125,6229996.5,480.128
630255.5625,6228494,464.544
630245.6875,6228671,438.865
630258.875,6230041.5,500.399
630261.0625,6228712,423.509
630261.4375,6229884,422.11
630262.125,6229907,434.985
630257.625,6228599.5,461.239
630277.1875,6229931.5,449.293
630269.5625,6228525,463.585
630270.5,6228643.5,446.854
630283,6229875.5,420.888
630285.4375,6229900,434.127
630287.8125,6229971.5,475.086
630283.6875,6228704,421.562
630278.8125,6228681.5,429.438
630286.3125,6228569.5,462.802
630299.4375,6229920.5,447.982
630302.4375,6228476.5,464.589
630305.625,6230024,494.484
630306.375,6228696,420.334
630307,6229876.5,425.375
630307.75,6229904,439.059
630306.875,6229944.5,460.959
630305.5625,6228663,432.26
630319.75,6229923,451.556
630305.125,6228616.5,452.032
630316.6875,6228539,463.129
630329,6228688.5,420.093
630325,6229975.5,484.782
